stressed	{(stress)}
streamline	{(stream)}{(line)}
quay	{(quay)}
lancet	{(lancet)}
capitalized	{(capit)>al>}>ize>
date	{(date)}
underworld	<under<{(world)}
deadliest	{(dead)}>ly>>est>
doges	{(doge)}
seats	{(seat)}
coherent	{<co<(_here)}>ant>
dolts	{(dolt)}
walford	{(walford)}
coles	{(coles)}
yesterdays	{(yester)(day)}
chopin	{(chopin)}
orifice	{(orifice)}
houghton	{(houghton)}
balking	{(balk)}
emanating	{(emanate)}
merit	{(merit)}
gladden	{(glad)}>en>
cook's	{(cook)}
clapboards	{(clap)}{(board)}
blackout	{(black)}{(out)}
canoes	{(canoe)}
wards	{(ward)}
pluralistic	{(plural)}>ist>>ic>
disinfect	<dis<{<in<(fect)}
hunch	{(hunch)}
distraction	{<dis<(tract)}>ion>
rabies	{(rabies)}
sweetmeat	{(sweet)}{(meat)}
gilding	{(gild)}
frontiers	{(front)}>er>
groaning	{(groan)}
mischievousness	{(mischievous)}>ness>
hasten	{(haste)}>en>
tidy	{(tidy)}
eggshell	{(egg)}{(shell)}
touchy	{(touch)}>y>
cordiality	{(cord)>al>}>ity>
cogwheel	{(cog)}{(wheel)}
tofu	{(tofu)}
motion	{(motion)}
sandblasting	{(sand)}{(blast)}
insectivore	{(insect)}>ivore>
schooling	{(school)}
devonshire	{(devonshire)}
replying	{(reply)}
marched	{(march)}
contrary	{(contra)>ory>}
guying	{(guy)}
bruised	{(bruise)}
tidbit	{(tidbit)}
anthracite	{(anthracite)}
vantagepoint	{(vantage)}{(point)}
deutschmark	{(deutsch)(mark)}
disentangled	<dis<<en<{(tangle)}
subtenants	<sub<{(ten)>ant>}
snaffled	{(snaffle)}
dependent	{<de<(pend)}>ant>
masterstrokes	{(master)}{(stroke)}
glamorously	{(glamour)}>ious>>ly>
consists	{<co<(sist)}
calumnies	{(calumny)}
bookshelf	{(book)}{(shelf)}
photolithography	(photo){(litho)(graph)>y>}
casuals	{(casual)}
sardines	{(sardine)}
gamble	{(gamble)}
quietening	{(quiet)}>en>
joules	{(joule)}
mythical	{(myth)}>ic>>al>
crusading	{(crusade)}
trebling	{(treble)}
symmetry	{<sy<(meter)>y>}
bushel	{(bushel)}
dodger	{(dodge)}>er>
pilferage	{(pilfer)}>age>
adumbrating	{<a<(umbrate)}
incongruities	<im<{(congru)>ity>}
perusing	{(peruse)}
blushed	{(blush)}
incarnation	{<in<(carn)>ate>}>ion>
preconditions	<pre<{(condition)}
syncopates	{(syncopate)}
grumpiness	{(grump)}>y>>ness>
mathias	{(mathias)}
shorties	{(short)}>y>
swats	{(swat)}
lax	{(lax)}
penitent	{(penit)>ant>}
repairable	{<re<(pair)}>able>
wreckage	{(wreck)}>age>
discreet	{(discreet)}
sot	{(sot)}
diocesan	{(diocesan)}
traced	{(trace)}
slosh	{(slosh)}
memo	{(memo)}
forego	<fore<{(go)}
greeks	{(greek)}
sottishly	{(sot)}>ish>>ly>
skid	{(skid)}
deity	{(deity)}
minneapolis	{(minnea)(pol)>sis>}
creatively	{(create)}>ive>>ly>
warranties	{(warrant)}>y>
erode	{<e<(rode)}
telexes	{(telex)}
begriming	<be<{(grime)}
layabout	{(lay)}{(about)}
misdirecting	<mis<{(direct)}
egghead	{(egg)}{(head)}
enfant	{(enfant)}
buttonhole	{(button)}{(hole)}
piecrusts	{(pie)}{(crust)}
monomer	{(monomer)}
unlocking	<un<{(lock)}
autographs	{<auto<(graph)}
facaded	{(facade)}
pronouncements	{(pronounce)}>ment>
broadside	{(broad)}{(side)}
changeless	{(change)}>less>
ironclads	{(iron)}{(clad)}
territories	{(territory)}
hucksters	{(huckster)}
emerges	{<e<(merge)}
oppressively	{<o<(press)}>ive>>ly>
expansions	{(expand)}>ion>
devisee	{(devise)}>ee>
snappy	{(snap)}>y>
takeaway	{(take)}{(away)}
mollusc	{(mollusc)}
withheld	{(with)}{(held)}
sweden	{(sweden)}
beeps	{(beep)}
horribly	{(horr)>able>}>y>
sophistries	{(soph)>ist>>ory>}
splotches	{(splotch)}
penitents	{(penit)>ant>}
undefended	<un<{(defend)}
brash	{(brash)}
injuries	{(injure)}>y>
larding	{(lard)}
countrey	{(count)}{(rey)}
ultramontane	{<ultra<(mont)>ane>}
lodger	{(lodge)}>er>
declare	{(declare)}
comprehensibility	{<co<(prehend)}>able>>ity>
rowswell	{(row)}{(swell)}
ethnically	{(ethn)>ic>}>ly>
extensor	{<ex<(tend)}>or>
lumbers	{(lumber)}
verbenas	{(verbena)}
connective	{(connect)}>ive>
silkworms	{(silk)}{(worm)}
skippered	{(skipper)}
replete	{(replete)}
contraindicates	(contra){(indicate)}
accede	{<a<(cede)}
proscription	{<pro<(script)>ion>}
centrifugal	{(center)>fuge>}>al>
theologically	{(theo)(log)>ic>>al>}>ly>
pettily	{(petty)}>ly>
disorientate	<dis<{(orient)}>ate>
appease	{(appease)}
cantos	{(canto)}
ace	{(ace)}
fits	{(fit)}
snivel	{(snivel)}
straights	{(straight)}
bituminous	{(bituminous)}
inspected	{<in<(spect)}
lauds	{(laud)}
jewishness	{(jew)}>ish>>ness>
hustler	{(hustle)}>er>
willett	{(willett)}
funfair	{(fun)}{(fair)}
neurasthenic	{(neuro)>asthenic>}
chows	{(chow)}
enforces	<en<{(force)}
solution	{(solut)}>ion>
defiler	{(defile)}>er>
copying	{(copy)}
pseudos	{(pseudo)}
wrangler	{(wrangle)}>er>
nuanced	{(nuance)}
newfoundland	{(newfoundland)}
pimpernels	{(pimpernel)}
enchantresses	{(enchant)}>ess>
teeniest	{(teen)}>y>>est>
decamp	{<de<(camp)}
separatism	{(separ)>ate>}>ism>
earthquake	{(earth)}{(quake)}
firebricks	{(fire)}{(brick)}
messier	{(mess)}>y>>er>
influencing	{<in<(flu)>ance>}
cracksman	{(crack)}(man)
keypunches	{(key)}{(punch)}
dessertspoonfuls	{(dessert)}{(spoon)}>ful>
lotions	{(lotion)}
transfer	{(transfer)}
cattiness	{(cat)}>y>>ness>
cyclonic	{(cyclone)}>ic>
synchronize	{<syn<(chrono)>ize>}
foamy	{(foam)}>y>
latched	{(latch)}
welding	{(weld)}
shipbrokers	{(ship)}{(broke)}>er>
structure	{(struct)>ure>}
immobile	<im<{(mobile)}
moulton	{(moulton)}
arbiter	{(arbiter)}
domesday	{(domesday)}
azure	{(azure)}
damp	{(damp)}
chiaroscuro	{(chiaroscuro)}
constraining	{<co<(strain)}
overgrowths	<over<{(grow)>th>}
freshers	{(fresh)}>er>
crave	{(crave)}
peerless	{(peer)}>less>
aridity	{(arid)}>ity>
knitted	{(knit)}
bequeathed	{(bequeath)}
typeset	{(typo)}{(set)}
washing	{(wash)}
ligaments	{(ligament)}
contents	{(content)}
cupric	{(cupric)}
backbones	{(back)}{(bone)}
dowagers	{(dowager)}
paula	{(paula)}
disguise	{<dis<(guise)}
incognitos	{(incognito)}
flood	{(flood)}
listing	{(list)}
mistily	{(mist)}>y>>ly>
save	{(save)}
strangles	{(strangle)}
pubic	{(pubic)}
transpolar	<trans<{(pole)}>ar>
trapshooting	{(trap)}{(shoot)}
ticker	{(tick)}>er>
moritz	{(moritz)}
vacancy	{(vacu)>ancy>}
mummer	{(mummer)}
epitomizing	{(epitomize)}
immaterial	<im<{(material)}
inset	<in<{(set)}
devoutly	{(devout)}>ly>
lilts	{(lilt)}
mottoes	{(motto)}
profiteers	{(profit)}>eer>
misapprehended	<mis<{<a<(prehend)}
opulently	{(opulent)}>ly>
omniscience	{<omni<(sci)>ance>}
redheader	{(red)}{(head)}>er>
decompress	<de<{<co<(press)}
plain	{(plain)}
workrooms	{(work)}{(room)}
ginkgo	{(ginkgo)}
bushwhacker	{(bush)}{(whack)}>er>
geographers	{(geo)(graph)>er>}
parse	{(parse)}
accordions	{(accordion)}
superintending	{<super<<in<(tend)}
fragments	{(fragment)}
hobnobs	{(hob)}{(nob)}
peephole	{(peep)}{(hole)}
journals	{(journ)>al>}
botany	{(botan)>y>}
adverse	{(adverse)}
individuals	{<im<(divide)>al>}
experimenter	{(experiment)}>er>
corncobs	{(corn)}{(cob)}
preservatives	{<pre<(serve)}>ive>
english	{(english)}
senegal	{(senegal)}
divan	{(divan)}
travesty	{(travesty)}
parental	{(parent)}>al>
prudes	{(prud)}
imbibe	{(imbibe)}
goodbye	{(good)}{(bye)}
propinquity	{(propinquity)}
sculptor	{(sculpt)}>or>
headlines	{(head)}{(line)}
meditations	{(meditate)}>ion>
utah	{(utah)}
derelict	{(derelict)}
egotist's	{(ego)}>ist>
maddening	{(mad)}>en>
ejections	{<e<(ject)}>ion>
showboat	{(show)}{(boat)}
shorts	{(short)}
indescribable	<im<{<de<(script)}>able>
summonses	{(summons)}
rifleman	{(rifle)}(man)
flared	{(flare)}
rawhides	{(raw)}{(hide)}
seance	{(seance)}
charlie's	{(charlie)}
linesman	{(line)}(man)
effusively	{<e<(fuse)}>ive>>ly>
homewrecker	{(home)}{(wreck)}>er>
knacker	{(knacker)}
ventura	{(ventura)}
wen	{(wen)}
bobcats	{(bob)}{(cat)}
sandboxes	{(sand)}{(box)}
oesophagus	{(oeso)(phage)>us>}
deafening	{(deaf)}>en>
queen's	{(queen)}
missouri's	{(missouri)}
choctaws	{(choctaw)}
mauritians	{(mauritian)}
singularizing	{(single)>ar>}>ize>
lucifer	{(lucifer)}
gore's	{(gore)}
necrophilia	{(necro)(philo)>ia>}
productiveness	{<pro<(duct)}>ive>>ness>
micks	{(mick)}
rumpus	{(rumpus)}
disking	{(disk)}
shipping	{(ship)}
outmatches	<out<{(match)}
rebellions	{(rebel)}>ion>
cowhide	{(cow)}{(hide)}
guaranty	{(guarant)>y>}
elvis	{(elvis)}
bombproof	{(bomb)}{(proof)}
federalize	{(feder)>al>}>ize>
fewest	{(few)}>est>
stagecoach	{(stage)}{(coach)}
clangers	{(clang)}>er>
asceticism	{(ascetic)}>ism>
compactly	{(compact)}>ly>
undecided	<un<{(decide)}
crumble	{(crumble)}
diffuse	{<di<(fuse)}
subside	{(subside)}
sacrificed	{(sacro)>fice>}
plumbagos	{(plumbago)}
windfalls	{(wind)}{(fall)}
diversifies	{(diverse)}>ify>
divulgences	{(divulge)}>ance>
electromagnetism	(electro){(magnet)}>ism>
rampaging	{(ramp)>age>}
footstool	{(foot)}{(stool)}
grotesquely	{(grotesque)}>ly>
nexuses	{(nexus)}
acquiesces	{(acquiesce)}
pottiness	{(potty)}>ness>
employees	{(employ)}>ee>
deploying	{(deploy)}
baccalaureates	{(baccalaureate)}
purely	{(pure)}>ly>
plumbs	{(plumb)}
babying	{(baby)}
accusations	{(accuse)}>ion>
gym	{(gym)}
deferents	{(defer)}>ant>
landfall	{(land)}{(fall)}
rat's	{(rat)}
differing	{(differ)}
aristotelian	{(aristotelian)}
eden	{(eden)}
breakfasting	{(break)(fast)}
dippers	{(dip)}>er>
renounces	{(renounce)}
pared	{(pare)}
fixate	{(fix)}>ate>
grinds	{(grind)}
coteries	{(coterie)}
fulfillment	{<ful<(fill)}>ment>
furthest	{(furthest)}
overcompensate	<over<{(compensate)}
armory	{(armor)}>y>
cotillion	{(cotillion)}
polyesters	{<poly<(ester)}
buds	{(bud)}
untrained	<un<{(train)}
bumps	{(bump)}
dishonouring	<dis<{(honor)}
disorderly	<dis<{(order)}>ly>
spools	{(spool)}
worshipful	{(worship)}>ful>
fieldmouse	{(field)}{(mouse)}
passivized	{(passive)}>ize>
disrupts	{<dis<(rupt)}
typicality	{(typo)}>al>>ity>
direr	{(dire)}>er>
bedstead	{(bed)}{(stead)}
naples	{(naples)}
raze	{(raze)}
vain	{(vain)}
blandest	{(bland)}>est>
bubbliest	{(bubble)}>y>>est>
ointments	{(ointment)}
effeteness	{(effete)}>ness>
oilrigs	{(oil)}{(rig)}
catastrophe	{(catastrophe)>e>}
skips	{(skip)}
vetting	{(vet)}
planetarium	{(planet)}>ium>
pith	{(pith)}
snaffle	{(snaffle)}
distastefulness	<dis<{(taste)}>ful>>ness>
obscurants	{(obscure)}>ant>
idolatries	{(idol)>ater>>y>}
dependency	{<de<(pend)}>ance>>y>
saves	{(save)}
mauls	{(maul)}
putrefied	{(putr)>efy>}
pediment	{(pediment)}
exhausts	{(exhaust)}
lolling	{(loll)}
edging	{(edge)}
diffusely	{<di<(fuse)}>ly>
michigan	{(michigan)}
outwitted	<out<{(wit)}
ovoids	{(ov)>oid>}
teapot	{(tea)}{(pot)}
exempting	{(exempt)}
requiem	{(requiem)}
neat	{(neat)}
contradict	{(contra)(dict)}
anglers	{(angle)}>er>
liar	{(lie)}>ar>
encore	{(encore)}
shovel	{(shovel)}
rockefeller	{(rockefeller)}
separations	{(separ)>ate>}>ion>
rape	{(rape)}
tangere	{(tan)}{(gere)}
fertility	{(fertile)}>ity>
ammonia	{(ammonia)}
flush	{(flush)}
vindication	{(vindicate)}>ion>
dumbfound	{(dumb)(found)}
unfailingly	<un<{(fail)}>ly>
winked	{(wink)}
recalled	{<re<(call)}
redneck	{(red)}{(neck)}
professionalism	{(profess)>ion>}>al>>ism>
wilt	{(wilt)}
paradoxical	{(paradox)}>ic>>al>
siphoned	{(siphon)}
catamarans	{(catamaran)}
sidemen	{(side)}(men)
overcapitalize	<over<{(capit)>al>}>ize>
pacifies	{(pacif)>y>}
enplaning	<en<{(plane)}
outgrip	<out<{(grip)}
palatalize	{(palat)}>al>>ize>
wordbooks	{(word)}{(book)}
nieces	{(niece)}
irrecoverably	<im<{(recover)}>able>>y>
supernormal	<super<{(norm)>al>}
growler	{(growl)}>er>
world's	{(world)}
misery	{(miser)>y>}
diviners	{(divine)}>er>
jinx	{(jinx)}
fur	{(fur)}
stigmata	{(stigmata)}
assemblage	{<a<(semble)}>age>
stockbreeders	{(stock)}{(breed)}>er>
drunks	{(drunk)}
sphagnum	{(sphagnum)}
yardage	{(yard)}>age>
tourism	{(tour)}>ism>
challenges	{(challenge)}
blot	{(blot)}
suspending	{<sus<(pend)}
stableman	{(stable)}(man)
coolish	{(cool)}>ish>
nasser	{(nasser)}
parkinson's	{(parkin)(sono)}
brennan	{(brennan)}
amorousness	{(amorous)}>ness>
gallons	{(gallon)}
angrier	{(angry)}>er>
chummed	{(chum)}
redaction	{(redact)}>ion>
impersonally	<in<{(person)}>al>>ly>
tribunal	{(tribune)}>al>
tautest	{(tauto)}>est>
loins	{(loin)}
metallurgical	{(metal)(urge)>ic>}>al>
clause	{(clause)}
pills	{(pill)}
drawl	{(drawl)}
halved	{(halve)}
specially	{(special)}>ly>
aubergine	{(aubergine)}
grovel	{(grovel)}
disincline	<dis<{<in<(cline)}
sophoclean	{(sophocles)>an>}
stoicism	{(stoic)}>ism>
carolina's	{(carolina)}
resumptions	{<re<(sume)>ion>}
soignee	{(soignee)}
portfolios	{(port)(folio)}
sabring	{(sabre)}
accelerating	{<a<(celer)>ate>}
armourer	{(armor)}>er>
bodyguard	{(body)}{(guard)}
dorado	{(dorado)}
curiae	{(curiae)}
girlish	{(girl)}>ish>
satisfied	{(satis)>ify>}
deafer	{(deaf)}>er>
foliating	{(foli)>ate>}
scant	{(scant)}
rusks	{(rusk)}
copulate	{(copulate)}
foreman	{(fore)}(man)
prognostic	{<pro<(gnose)>ic>}
decode	<de<{(code)}
overjoy	<over<{(joy)}
newmarket	{(new)(market)}
ruefully	{(rue)}>ful>>ly>
teacupful	{(tea)}{(cup)}>ful>
emancipate	{(emancipate)}
descale	<de<{(scale)}
distract	{<dis<(tract)}
focal	{(foc)>al>}
publicized	{(public)}>ize>
adobe	{(adobe)}
irrelevance	<im<{(relev)>ance>}
multilateral	<multi<{(lateral)}
hairdo	{(hair)}{(do)}
outlives	<out<{(live)}
memorably	{(memor)>able>}>y>
wholesale	{(whole)}{(sale)}
irrigating	{(irrig)>ate>}
harmfulness	{(harm)}>ful>>ness>
architect's	{(architect)}
unheeding	<un<{(heed)}
blob	{(blob)}
affording	{(afford)}
libidos	{(libid)>o>}
threatened	{(threat)}>en>
fraudulently	{(fraud)}>ant>>ly>
robbie	{(rob)>ie>}
duffy	{(duffy)}
orbs	{(orb)}
vows	{(vow)}
salivates	{(saliva)>ate>}
interwove	<inter<{(wove)}
vane	{(vane)}
corrodes	{(corrode)}
courtier	{(court)}>er>
treaclier	{(treacle)}>y>>er>
decencies	{(decency)}
louise	{(louise)}
rosa	{(rosa)}
brussels	{(brussels)}
paradigmatically	{(paradigm)}>ic>>ly>
troy	{(troy)}
emotional	{(emote)}>ion>>al>
shirley	{(shirley)}
futuristically	{(future)}>ist>>ic>>ly>
pittsburgh	{(pittsburgh)}
glaziers	{(glaze)}>er>
mains	{(main)}
brushing	{(brush)}
eros	{(eros)}
scrumptious	{(scrumptious)}
disarms	<dis<{(arm)}
maws	{(maw)}
hyacinth	{(hyacinth)}
plughole	{(plug)}{(hole)}
scotchwoman	{(scotch)}(woman)
deathbed	{(death)}{(bed)}
interpretative	{(interpret)}>ive>
formalized	{(formal)}>ize>
jerkings	{(jerk)}
undersold	<under<{(sold)}
organizing	{(organ)>ize>}
grandparent	{(grand)}{(parent)}
pantomime	{(pantomime)}
misinformation	<mis<{(inform)}>ion>
sniggering	{(snigger)}
viewed	{(view)}
tipsters	{(tip)}>ster>
converters	{<co<(vert)}>er>
fallen	{(fall)}>en>
petalled	{(petal)}
assholes	{(ass)}{(hole)}
commotion	{<co<(motion)}
flamingo	{(flamingo)}
plagiarist	{(plagiar)>ist>}
recumbent	{(recumbent)}
cynical	{(cynic)}>al>
holbrook	{(holbrook)}
stapler	{(staple)}>er>
busybodies	{(busy)}{(body)}
siva	{(siva)}
scaremonger	{(scare)}{(monger)}
darkly	{(dark)}>ly>
psychiatry	{(psycho)>ater>>y>}
follows	{(follow)}
rationalization	{(rational)}>ize>>ion>
round	{(round)}
pak	{(pak)}
suffice	{(suffice)}
preferred	{(prefer)}
decade	{(decade)}
albania	{(albania)}
hurtling	{(hurtle)}
apprehensions	{<a<(prehend)}>ion>
resting	{(rest)}
fieldmice	{(field)}{(mice)}
changes	{(change)}
temperature	{(temper)>at>>ure>}
remunerative	{<re<(munerate)}>ive>
troop	{(troop)}
risings	{(rise)}
hearkens	{(hearken)}
internally	{<in<(tern)>al>}>ly>
forfeited	{(forfeit)}
brady	{(brady)}
airless	{(air)}>less>
splodged	{(splodge)}
acclaimed	{(acclaim)}
bellyfuls	{(belly)}>ful>
patronizes	{(patron)}>ize>
epaulets	{(epaulet)}
chafes	{(chafe)}
deodorize	<de<{(odor)}>ize>
playpens	{(play)}{(pen)}
usurp	{(usurp)}
obstructionist	{(obstruct)}>ion>>ist>
podiums	{(podium)}
preconceiving	<pre<{<co<(ceive)}
eades	{(eades)}
payrolls	{(pay)}{(roll)}
decontaminating	<de<{(contaminate)}
reveries	{(reverie)}
cola	{(cola)}
ambassadresses	{(ambassad)>ress>}
suffocating	{(suffocate)}
autograph	{<auto<(graph)}
concordance	{<co<(cord)}>ance>
christianity	{(christ)}>ian>>ity>
nate	{(nate)}
chink	{(chink)}
snaffles	{(snaffle)}
shrikes	{(shrike)}
reconvened	<re<{<co<(vene)}
fluorescing	{(fluor)>esc>}
condominium	{<co<(domin)>ium>}
increments	{<in<(crement)}
snowdrifts	{(snow)}{(drift)}
blimp	{(blimp)}
detours	{<de<(tour)}
bereaving	{(bereave)}
wondered	{(wonder)}
frogmarches	{(frog)}{(march)}
outlet	<out<{(let)}
novel	{(novel)}
kennett	{(kennett)}
various	{(vary)}>ious>
pedants	{(pedant)}
earache	{(ear)}{(ache)}
lazing	{(laze)}
wornout	{(wore)}>n>{(out)}
hunchbacked	{(hunch)}{(back)}
trespassed	{(trespass)}
legitimacy	{(legitim)>acy>}
injudicious	<im<{(judic)>ious>}
hew	{(hew)}
roughcast	{(rough)}{(cast)}
projectors	{<pro<(ject)}>or>
vertigo	{(vertigo)}
paragons	{(paragon)}
knows	{(know)}
transfigures	<trans<{(figure)}
flatness	{(flat)}>ness>
surgically	{(surg)>ic>>al>}>ly>
footmarks	{(foot)}{(mark)}
wisteria	{(wisteria)}
plosion	{(plos)>ion>}
spooning	{(spoon)}
preachifies	{(preach)}>ify>
stratum	{(strat)>ium>}
originality	{(origin)}>al>>ity>
commends	{(commend)}
proclivities	{<pro<(clivity)}
sultanates	{(sultan)}>ate>
proportionately	{<pro<(portion)}>ate>>ly>
dip	{(dip)}
retraces	<re<{(trace)}
subcontractor	<sub<{(contract)}>or>
musicianship	{(music)}>ian>>ship>
pumps	{(pump)}
governs	{(govern)}
permissibly	{(permit)}>able>>y>
camouflage	{(camouflage)}
stammer	{(stammer)}
chaperon	{(chaperon)}
incompetency	<im<{(compete)>ance>}>y>
chimneystack	{(chimney)}{(stack)}
lewdly	{(lewd)}>ly>
clumped	{(clump)}
contentiousness	{(contend)}>ious>>ness>
nassau	{(nassau)}
egotistic	{(ego)}>ist>>ic>
vices	{(vice)}
vicious	{(vicious)}
wresting	{(wrest)}
cop	{(cop)}
heckler	{(heckle)}>er>
drawings	{(draw)}
exorcism	{(exorc)>ism>}
carbondale	{(carbondale)}
bastardizes	{(bastard)}>ize>
dysentery	{(dysentery)}
winging	{(wing)}
disciplinarian	{(discipline)}>ian>
percussionists	{(percuss)>ion>}>ist>
newsdealers	{(new)}{(deal)}>er>
gladiator	{(gladiate)}>or>
shuck	{(shuck)}
interlinks	<inter<{(link)}
coarsened	{(coarse)}>en>
personation	{(person)}>ion>
harbourer	{(harbor)}>er>
rhea	{(rhea)}
conferring	{(confer)}
blackballing	{(black)}{(ball)}
facing	{(face)}
foisted	{(foist)}
perishable	{(perish)}>able>
commodity	{(commode)>ity>}
lutanists	{(lutanist)}
tuft	{(tuft)}
mortally	{(mort)>al>}>ly>
blessings	{(bless)}
subway	<sub<{(way)}
headmistress	{(head)}{(mistress)}
boniest	{(bone)}>y>>est>
mastodons	{(mastodon)}
disappears	<dis<{(appear)}
foretells	<fore<{(tell)}
inoculates	{(inoculate)}
hoar	{(hoar)}
scripps	{(scripps)}
tent	{(tent)}
wall	{(wall)}
cretinous	{(cretin)}>ious>
griefs	{(grief)}
curlicue	{(curlicue)}
commentating	{(comment)}>ate>
terrorism	{(terr)>or>}>ism>
machete	{(machete)}
darrell	{(darrell)}
striate	{(striate)}
puffily	{(puff)}>y>>ly>
ague	{(ague)}
period	{(period)}
botanize	{(botan)>ize>}
omit	{(omit)}
bringing	{(bring)}
unknowns	<un<{(know)}>n>
targets	{(target)}
attitudinize	{(attitude)}>ize>
delimit	{<de<(limit)}
wrongfully	{(wrong)}>ful>>ly>
muddled	{(muddle)}
bourses	{(bourse)}
pigswill	{(pig)}{(swill)}
foundry	{(foundry)}
sublimation	{(sublimate)}>ion>
scabbard	{(scabbard)}
hunter	{(hunt)}>er>
landslides	{(land)}{(slide)}
wristwatch	{(wrist)}{(watch)}
lawford	{(lawford)}
bud	{(bud)}
siting	{(site)}
inertia	{(inertia)}
winner	{(win)}>er>
perforating	{(perforate)}
question	{(question)}
inexorable	<im<{(exorable)}
manufacturer	{(mani)(fact)>ure>}>er>
disqualifies	<dis<{(qualify)}
marquetry	{(marquetry)}
equitable	{(equi)>it>>able>}
ballroom	{(ball)}{(room)}
lodgments	{(lodge)}>ment>
tiddler	{(tiddle)}>er>
bashing	{(bash)}
loci	{(loc)>i>}
vamoosing	{(vamoose)}
crabs	{(crab)}
vertebrates	{(vertebr)>ate>}
humidified	{(humid)}>ify>
starred	{(star)}
skill	{(skill)}
soliciting	{(solicit)}
unnerve	<un<{(nerve)}
heretic	{(heres)>ic>}
palish	{(pale)}>ish>
aria	{(aria)}
underarms	<under<{(arm)}
plagiarisms	{(plagiar)>ism>}
manacled	{(manacle)}
piece	{(piece)}
insalubrious	<im<{(salubrious)}
aggravating	{(aggravate)}
ink	{(ink)}
oleander	{(oleander)}
nonparticulate	<non<{(particle)>ate>}
corundum	{(corundum)}
disendow	<dis<{(endow)}
semicircles	<semi<{(circle)}
atmosphere	{(atmo)(sphere)}
viol	{(viol)}
wildly	{(wild)}>ly>
scotland	{(scotland)}
other	{(other)}
canvass	{(canvas)}
grippingly	{(grip)}>ly>
squirter	{(squirt)}>er>
mammies	{(mammy)}
remington	{(remington)}
articulately	{(articul)>ate>}>ly>
oratorical	{(orate)}>or>>ic>>al>
omitting	{(omit)}
eeriness	{(eery)}>ness>
newsvendors	{(new)}{(vend)}>or>
seabrook	{(seabrook)}
fluoresced	{(fluor)>esc>}
dazzling	{(dazzle)}
sander	{(sand)}>er>
exhaust	{(exhaust)}
manipulate	{(manipulate)}
soured	{(sour)}
dice	{(dice)}
polar	{(pole)}>ar>
confabulates	{<co<(fable)>ate>}
fathom	{(fathom)}
farmsteads	{(farm)}{(stead)}
hewett	{(hewett)}
clunking	{(clunk)}
hemming	{(hem)}
emporium	{(emporium)}
renovation	{(renovate)}>ion>
gonna	{(gonna)}
disjunction	{<dis<(junct)}>ion>
learner	{(learn)}>er>
tootle	{(tootle)}
gaudiness	{(gaudy)}>ness>
outlaws	<out<{(law)}
cerebrated	{(cerebrate)}
diehard	{(die)}{(hard)}
tits	{(tit)}
southland	{(southland)}
pleaded	{(plead)}
drowsing	{(drowse)}
mouldy	{(mould)}>y>
intelligibility	{(intellig)>able>}>ity>
smooch	{(smooch)}
posits	{(posit)}
examiners	{(examine)}>er>
curio	{(curio)}
cantankerous	{(cantankerous)}
smooched	{(smooch)}
linda	{(linda)}
shoves	{(shove)}
southwesterly	{(south)}{(west)}>er>>ly>
norse	{(norse)}
implantation	<in<{(plant)}>ion>
garrisonian	{(garrison)}{(ian)}
lash	{(lash)}
false	{(false)}
labored	{(labor)}
mystique	{(mystique)}
oblongs	{(oblong)}
chattiest	{(chat)}>y>>est>
predigests	<pre<{(digest)}
soapiest	{(soap)}>y>>est>
compacted	{(compact)}
surpasses	{(surpass)}
vertexes	{(vertex)}
feeling	{(feel)}
manias	{(mania)}
piccaninnies	{(piccaninny)}
superstructures	<super<{(struct)>ure>}
irritants	{(irrit)>ant>}
tangents	{(tang)>ant>}
rapier	{(rapier)}
stuck	{(stuck)}
flattered	{(flatter)}
specialists	{(special)}>ist>
operators	{(oper)>ate>}>or>
wyverns	{(wyvern)}
incising	{<in<(cise)}
anemic	{(anemic)}
unequivocally	<un<{(equi)(voc)>al>}>ly>
diligently	{(diligent)}>ly>
seed	{(seed)}
descendants	{(descend)}>ant>
hitler	{(hitler)}
saner	{(sane)}>er>
verb	{(verb)}
wretches	{(wretch)}
arabia	{(arab)>ia>}
holdover	{(hold)}{(over)}
overstatement	<over<{(state)}>ment>
passionateness	{(passion)}>ate>>ness>
rembrandt	{(rembrandt)}
atolls	{(atoll)}
disseminating	{<dis<(semin)>ate>}
stouter	{(stout)}>er>
achieving	{(achieve)}
brightly	{(bright)}>ly>
positivist	{(posit)>ive>}>ist>
mergers	{(merge)}>er>
uncrowned	<un<{(crown)}
colonels	{(colonel)}
noticed	{(notice)}
rivaled	{(rival)}
taxi	{(taxi)}
pathfinder	{(patho)}{(find)}>er>
trenchermen	{(trencher)}(men)
ennoblement	<en<{(noble)}>ment>
communities	{(commune)}>ity>
hamming	{(ham)}
listings	{(list)}
exerts	{(exert)}
biographic	{(bio)(graph)>ic>}
hague	{(hague)}
specifics	{(spec)>ic>}
prevalent	{<pre<(val)>ant>}
cushioning	{(cushion)}
buckled	{(buckle)}
crinkling	{(crinkle)}
hope	{(hope)}
addiction	{(addict)}>ion>
expiated	{(expiate)}
comeliness	{(come)}>ly>>ness>
throwbacks	{(throw)}{(back)}
guinness	{(guinness)}
recollects	{(recollect)}
veered	{(veer)}
disembarked	<dis<{<en<(bark)}
sturdiest	{(sturdy)}>est>
roundish	{(round)}>ish>
